0,project_id,cost,category,votes,name,target,selected
74,1887,50000,"public transit and roads,public space,sport",661,Modernizacja strefy do ćwiczeń przy metrze Kabaty – nawierzchnia,"youth,adults,seniors",0
75,708,119114,"environmental protection,public space,urban greenery",647,Mini wybieg dla psów przy Lasku Brzozowym,"children,youth,adults,seniors,people with disabilities",0
76,414,227600,"education,public transit and roads,public space",598,"Pętelka przy przedszkolu 351 im. Wandy Chotomskiej przy ul. Warchałowskiego 4 - udrożnienie przejazdu, zwiększenie bezpieczeństwa, nowe miejsca postojowe, drzewa i krzewy na zmniejszonej powierzchni trawnika","children,youth,adults,seniors,people with disabilities",0
77,1999,90000,environmental protection,596,Energia słoneczna i wiatrowa - jak zamontować generatory na swoim budynku. Warsztaty dla gospodarzy i właścicieli nieruchomości,None,0
78,890,100000,"culture,public space",591,Podświetlany napis URSYNÓW przy budynku Urzędu Dzielnicy Ursynów i Ursynowskiego Centrum Kultury,"children,youth,adults,seniors",0
79,1725,87170,"public transit and roads,environmental protection,public space",585,Dodatkowe przystanki autobusowe przy Kazury/Na Uboczu na ul. Stryjeńskich,"children,youth,adults,seniors,people with disabilities",0
80,1863,30000,"education,environmental protection,public space",576,Kwietna łąka na Olkówku,"children,youth,adults,seniors",0
81,114,691500,"education,culture,welfare",560,Biblioteka i czytelnia multimedialna na Hirszfelda. Kultura na widoku – działania w ramach animacji kultury,"youth,adults,seniors",0
82,1389,24000,"education,welfare",546,Podologia dla seniorów,seniors,0
83,1676,80000,"culture,public space",541,Targ rękodzieła warszawskiego i warsztaty,"children,youth,adults,seniors,people with disabilities",0
84,623,72000,"education,culture",538,Bezpłatne zajęcia dla dzieci w DOK Ursynów,"children,youth",0
85,197,441000,"culture,welfare,public space",533,Ekologiczna ławka dla mam karmiących z zadaszeniem i przewijakiem,"children,adults",0
86,573,23700,education,527,Angielski śpiewająco - lekcje języka angielskiego dla dzieci w wieku szkolnym,children,0
87,1364,40000,education,509,Edukacyjne naklejki na szkolnych schodach,"children,youth",0
88,246,198900,"education,environmental protection,public space",487,Natura dla pokoleń - zielone tereny szkolne,"children,youth,adults,seniors",0
89,1994,100000,"culture,welfare,public space",447,Piknik sąsiedzki Poznajmy się w Parku przy Bażantarni,"children,youth,adults,seniors,people with disabilities",0
90,1162,850000,"public transit and roads,public space,urban greenery",434,Remont parkingu przy Kościele w Pyrach,"children,youth,adults,seniors,people with disabilities",0
91,2088,65500,"education,culture",425,",,Retro dobranocki ‘’ bajki z projektora z czytaniem na żywo w Dzielnicowym Ośrodku Kultury Ursynów",children,0
92,1510,276000,education,415,Mały Budżet - Wielkie Możliwości czyli budżet obywatelski dla dzieci,"children,youth",0
93,754,9000,"education,environmental protection,urban greenery",406,Ursynów naturalnie! Wielopokoleniowe spacery po ursynowskich skarbach przyrody,"children,youth,adults,seniors,people with disabilities",0
94,621,60030,"education,culture",404,Bajki na trawie,"children,youth",0
95,1889,30000,"education,environmental protection",390,Spacery przyrodnicze dla uczniów ursynowskich szkół podstawowych,"children,youth",0
96,1211,290000,sport,387,Senior Wigor,seniors,0
97,879,67000,sport,357,Fitnessowy Ursynów,"adults,seniors",0
98,2070,921000,"culture,public space,sport",353,Projekt rozbudowy parku jordanowskiego przy obiekcie Herbsta 4 w Warszawie,"children,youth,adults,seniors,people with disabilities",0
99,1234,950000,"public transit and roads,public space",342,Remont murków oporowych przy skrzyżowaniach i zatokach autobusowych wzdłuż ul. Puławskiej na terenie Ursynowa,"youth,adults,seniors,people with disabilities",0
100,876,10000,"education,sport",310,Pilates 18+ na Ursynowie,"adults,seniors",0
101,1739,12500,"culture,public space,sport",305,Stoliki do gry dla seniorów - park JP II,"adults,seniors",0
102,1457,21900,"welfare,public space",295,Zajęcia ogólnorozwojowe dla dzieci i doposażenie Klubu Malucha w MAL (Miejsce Aktywności Lokalnej) przy ul. Kłobuckiej 14,"children,youth,adults,people with disabilities",0
103,880,22500,"education,sport",290,Fitnessowe wakacje 45+,"adults,seniors",0
104,1941,12000,"education,welfare,sport",288,Koszykówka dla dorosłych - Aktywni 35+,adults,0
105,633,30150,"education,environmental protection",286,"Cykl warsztatów szkolnych: praktyczna ekologia w domu, na zakupach, w podróży","children,youth",0
106,875,25800,"education,welfare,sport",283,Aktywne spacery dla mam z wózkami na Ursynowie,"children,adults",0
107,1654,62900,"education,public space,sport",281,Ursynowskie sportowe rozgrywki rodzinne,"children,youth,adults,seniors,people with disabilities",0
108,1301,62500,sport,277,Bądź jak Rocky - ogólnorozwojowe zajęcia dla dzieci z elementami boksu,children,0
109,922,72000,"education,environmental protection,welfare",272,O rany!,"children,youth,adults,seniors,people with disabilities",0
110,1074,210000,"public space,sport",266,Wymiana nawierzchni boisk do koszykówki przy ul. Puszczyka,"children,youth,adults,seniors,people with disabilities",0
111,14,3500,environmental protection,248,Promocja i warsztaty palenia węglem i drewnem od góry bez kopcenia,adults,0
112,1853,23000,"public space,sport",238,Gry podwórkowe,"children,youth",0
113,245,399992,"education,environmental protection,public space",234,Natura dla pokoleń - zmiany w naszym otoczeniu. Cykl warsztatów edukacyjnych dla mieszkańców i uczniów oraz sadzenie drzew,"children,youth,adults,seniors",0
114,1262,51340,"education,sport",233,Szachy w DOK-u,"children,youth,seniors",0
115,2095,52500,welfare,230,Dojrzałe piękno 60+,seniors,0
116,266,23000,"education,culture,welfare",199,Pogadajmy o tym co nas dzieli - warsztaty z komunikacji,"youth,adults,seniors,people with disabilities",0
117,877,16500,sport,196,Aktywne spacery na Ursynowie 45+,"adults,seniors",0
118,1194,29700,"education,public transit and roads,culture",168,Scrabble na Ursynowie,"children,youth,adults,seniors,people with disabilities",0
119,1523,54100,"education,culture,welfare",139,Warsztaty i turnieje żonglowania piłeczkami dla dzieci i młodzieży,"children,youth,people with disabilities",0
120,873,23550,sport,139,Fitnessowa wiosna,"adults,seniors",0
121,670,38580,education,117,Warsztaty Myśl sprawnie - bądź kreatywny dla mieszkańców dzielnicy Ursynów,"children,youth,adults,seniors",0
