0,project_id,cost,category,votes,name,target,selected
63,1764,134000,"education,culture,public space",693,Ławki patronów ulic z multimedialną prezentacją,"youth,adults,seniors,people with disabilities",0
64,1454,86200,"environmental protection,public space,urban greenery",692,Ładniejsza zieleń wzdłuż ulicy Lotaryńskiej (nieopodal PROMu Kultury),"children,youth,seniors,children",0
65,625,128000,"public transit and roads,environmental protection,public space",687,Zielona Skaryszewska,"children,adults,seniors",0
66,928,99300,"education,culture,public space",683,Zakątek Prusa cd. - strefa relaksu przy XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im.Bolesława Prusa,"children,youth,adults,seniors,people with disabilities",0
67,1492,850000,"education,culture,public space",680,Miejsce spotkań mieszkańców - Dom Sąsiedzki na Gocławiu,None,0
68,1078,12000,"environmental protection,public space",679,Oczyszczacze powietrza w bibliotekach,"children,youth,adults,seniors,people with disabilities",0
69,1154,850000,"environmental protection,public space,sport",661,Nowoczesna przestrzeń wokół SP255,"children,youth,adults",0
70,1766,15000,sport,653,Yoga na świeżym powietrzu - w ramach projektu Sport dla Każdego,"youth,adults,seniors,people with disabilities",0
71,814,1115000,sport,638,Wymiana nawierzchni tartanowej na Stadionie Podskarbińska- w ramach projektu Sport dla każdego,"children,youth,adults,seniors,people with disabilities",0
72,12,111700,"public transit and roads,public space",621,Bezpieczny Gocław_Doświetlenie ulicy Brygady Pościgowej (odcinek od ul. Kwiatkowskiego),"children,youth,adults,seniors,people with disabilities",0
73,1943,31200,"sport,health",611,"Aerial Joga, Aerial Hoop, Pilates - zajęcia ogólnorozwojowe","children,youth,adults",0
74,524,136955,"public transit and roads,public space,urban greenery",604,Zatoka postojowa i chodnik - ul. Przeworska 3,"children,youth,adults,seniors",0
75,1872,25000,"education,culture,public space",585,Grochówka na Grochowie. Kulinarne spotkanie w plenerze.,"children,youth,adults,seniors,people with disabilities",0
76,1736,100000,"education,public transit and roads,culture",569,Kolorowe chodniki - gry terenowe - projekt pilotażowy,children,0
77,1940,33600,"sport,health",566,"Trening seniora: gimnastyka, taniec, zdrowy kręgosłup, ćwiczenia w odciążeniu","adults,seniors,people with disabilities",0
78,1588,1008500,"public transit and roads,environmental protection,urban greenery",554,"Szanuj zieleń! - nie parkuj na trawniku - ul. Darłowska, ul. Grenadierów, ul. Białowieska - remont uliczek wewnętrznych i wydzielenie miejsc postojowych","children,youth,adults,seniors,people with disabilities",0
79,1428,10000,public transit and roads,546,"Ułożenie płyt chodnikowych pod billboardem reklamowym przy Rondzie Wiatraczna, obok Galerii Grochów","children,youth,adults,seniors,people with disabilities",0
80,1744,60000,sport,531,Oświetlenie bocznego boiska na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
81,1093,35000,education,493,Symulatory bezpiecznej jazdy,"children,youth,adults,seniors",0
82,331,200000,"education,culture",474,Działalność edukacyjno-kulturalna dla dzieci i młodzieży oraz dorosłych w bibliotekach na Pradze-Południe,"children,youth,adults,seniors",0
83,1789,15000,sport,460,Piłka nożna - w ramach projektu Sport dla Każdego,children,0
84,1802,5500,public transit and roads,454,Przejście dla pieszych na ul. Terespolskiej przy St. Augusta,"children,youth,adults,seniors,people with disabilities",0
85,286,980000,"education,public space,sport",448,"Rewitalizacja terenu boiska do piłki nożnej, dwóch boisk do gry w dwa ognie oraz bieżni okólnej w SP143","children,youth,seniors,people with disabilities",0
86,629,70000,"education,culture,public space",415,Mural na budynku Szkoły Podstawowej Nr 215,"children,youth",0
87,1343,15000,"education,culture,environmental protection",403,Uczymy się świata w teatrze życia - Cykl warsztatów i spotkań teatralnych dla dzieci,children,0
