0,project_id,cost,category,votes,name,target,selected
91,2098,280000,culture,268,Koncerty Operetkowe Usta milczą dusza śpiewa na Ursynowie – 4 koncerty plenerowe,"adults,seniors,people with disabilities",0
92,1368,64000,culture,267,Potańcówki na Ursynowie,"children,youth,adults,seniors,people with disabilities",0
93,2168,40000,"education,welfare,health",264,"Demencja, Alzheimer itp. – rozumiem i umiem pomagać seniorowi","children,youth,adults,seniors,people with disabilities",0
94,1173,54900,"education,welfare,health",260,Bezpieczeństwo dzieci. Nowoczesna profilaktyka w ursynowskich szkołach (pokazy edukacyjne z użyciem VR),"children,youth,adults,people with disabilities",0
95,1736,37000,education,253,Festiwale modelarskie na Ursynowie,"children,youth,adults,seniors,people with disabilities",0
96,2100,24000,"education,culture,environmental protection",251,Młody Architekt Miejski - plenerowe warsztaty architektoniczne dla dzieci,"children,youth,adults",0
97,1178,30000,"education,welfare,health",250,Z mamą i tatą najlepiej! Pomoc dla opiekunów dzieci od 5 miesięcy do 5 lat,"children,youth,adults,seniors,people with disabilities",0
98,2165,64600,"education,public space",241,"Maszty flagowe na flagi Polski, Warszawy i Ursynowa przed 17 szkołami podstawowymi","children,youth",0
99,1361,140000,"public transit and roads,public space",240,Realizacja chodnika w ul. Arbuzowej,"children,youth,adults,seniors,people with disabilities",0
100,1672,818000,"education,welfare",238,"Robotyka, programowanie i elektronika dla dzieci i młodzieży w Szkole Podstawowej Nr 340","children,youth,people with disabilities",0
101,1312,36000,education,236,Naklejki edukacyjne na schodach we wszystkich ursynowskich szkołach - matematyka,"children,youth,people with disabilities",0
102,798,1072000,public transit and roads,229,Modernizacja parkingów przy ul. Stryjeńskich i Kulczyńskiego 9,"adults,seniors,people with disabilities",0
103,1771,78000,"education,welfare,health",216,O rany! – szkolenia z tamowania krwotoków na Ursynowie,"children,youth,adults,seniors,people with disabilities",0
104,1189,45000,"education,culture",202,Teatrzyki w MALu na Kłobuckiej,"children,youth,adults",0
105,416,51200,culture,194,Kreatywne wakacje – zajęcia plastyczne podczas akcji „Lato w Mieście”,children,0
106,1333,170000,"public transit and roads,public space",113,Remont chodnika przy ulicy Chóralnej,"children,youth,adults,seniors,people with disabilities",0
107,1199,24600,"education,culture,public space",104,Ursynów w obiektywie - konkurs fotograficzny o naszej dzielnicy,"children,youth,adults,seniors,people with disabilities",0
